Lanes,VLEN (Bytes),VLEN (Bits),Scalar Cycles,Vector Cycles
2,32,256,166107,27850
2,64,512,166107,16824
2,128,1024,166107,11832
2,256,2048,166107,11208
2,512,4096,166107,10974
2,1024,8192,166107,11541
4,32,256,168130,25690
4,64,512,168130,14068
4,128,1024,168130,8535
4,256,2048,168130,6101
4,512,4096,168130,5917
4,1024,8192,168130,6056
8,32,256,168130,28219
8,64,512,168130,12969
8,128,1024,168130,7155
8,256,2048,168130,4383
8,512,4096,168130,3229
8,1024,8192,168130,3265
16,32,256,168130,28603
